first_name,last_name,birth_date
Oguz,Pollock,1952-04-08
Constantine,Bade,1952-09-07
Baruch,Heystek,1954-02-01
Chiradeep,Homond,1954-01-13
Duke,Showalter,1952-03-27
Jianhao,Cannata,1953-09-03
Sarita,Bennet,1955-10-27
Oddvar,Gyorkos,1955-07-01
Gad,Rahimi,1953-04-29
Janalee,Kugler,1954-07-28
Anneli,Rosenbaum,1954-10-09
Berna,Lalonde,1953-01-19
Tsvetan,Detkin,1955-11-08
Francesca,Figueira,1954-06-28
Kristin,Selenyi,1953-05-12
Prodip,Landherr,1953-06-02
Valery,Llado,1954-05-11
Seongbae,Botman,1954-12-07
Kauko,Steenbeek,1953-06-12
Eldridge,Kruskal,1955-03-04
Tremaine,Reeken,1953-12-11
Yuguang,Crouzet,1954-04-10
Bojan,Merle,1953-12-23
Sham,Debuse,1955-12-04
Kien,Selvestrel,1952-06-17
Radhika,Bahl,1952-07-15
Kannan,Mahnke,1952-12-15
Serenella,Segond,1955-06-10
Shigehiro,Suri,1952-07-26
Serge,Tchuente,1952-09-15
Naraig,Parhami,1954-07-14
Charmane,Lodder,1955-04-09
JiYoung,Harbusch,1953-10-26
Karsten,Koyama,1952-08-02
Stabislas,Luit,1955-06-09
Chenyi,Oaver,1952-03-24
Gill,Kaminger,1954-11-25
Nikolaus,Baca,1954-09-22
Zhanqiu,Kitsuregawa,1955-06-16
Shooichi,Braccini,1955-08-14
Franziska,Murillo,1952-10-05
Gretta,Buchter,1954-12-30
Valery,Iacovou,1954-08-04
Stevo,Merey,1955-01-13
Pasqua,Hertweck,1953-04-26
Junichi,Demizu,1954-11-09
Aloys,Hanratty,1953-08-30
Surveyors,Peck,1952-04-28
Djenana,Erva,1954-11-04
Tesuya,Hartvigsen,1955-05-15
Aemilian,Kroft,1953-01-20
Margo,Akiyama,1955-05-10
Kazuhito,Deville,1952-06-19
Jessie,Anido,1954-04-16
Augustine,Picco,1955-12-25
Arno,Rissland,1954-10-31
Kotesh,Garrabrants,1952-06-12
George,Bellmore,1955-09-05
Theron,Ramalingam,1953-05-30
Nikolaos,Negoita,1955-03-06
Toshimori,Fabrizio,1953-02-12
Perry,Kopetz,1953-03-11
Eirik,Shigei,1955-09-10
Guiseppe,Erbe,1954-01-14
Khalil,Schmittgen,1952-05-19
Jaideep,Denos,1955-08-03
Brendon,Sluis,1954-11-14
Mori,Parhami,1954-10-19
Aemilian,Quittner,1955-07-11
Richara,Alameldin,1952-04-08
Doohun,Sidje,1954-11-25
Rosalyn,Ushiama,1954-10-04
Dipayan,Suermann,1952-06-16
Gonzalo,Heping,1955-06-02
Ronghao,Apsitis,1952-12-16
Parke,Kalloufi,1955-01-21
Shan,Bergere,1953-07-04
Ugo,Ibel,1953-01-10
Tsz,Cools,1953-06-30
Adly,Siprelle,1953-12-26
Golgen,Wilfing,1954-12-16
Gill,Kusakabe,1954-06-19
Zhongwei,Broomell,1954-01-08
Ohad,Eiter,1952-02-24
Danil,Kalorkoti,1955-09-28
Stevo,Krichel,1954-12-01
Arco,Gustavson,1953-04-14
Marin,Trogemann,1955-11-11
Niranjan,Luders,1955-05-07
Toshiki,Munawer,1952-07-09
Karsten,Kolinko,1954-03-20
Luigi,Pargaonkar,1954-06-02
Tooru,Schwabacher,1952-02-15
Isamu,Chepyzhov,1953-01-01
Yonghoan,Pollock,1954-06-20
Maik,Montresor,1952-06-25
Ramya,Heyers,1954-12-23
Evgueni,Engberts,1955-07-09
Jaques,Fontan,1952-07-04
Florian,Matheson,1954-02-22
Mokhtar,Bernick,1953-12-07
Irene,Morrin,1955-05-06
Domenico,Zobel,1953-05-24
Masamitsu,Fiebach,1952-05-12
Mario,Pehl,1953-10-09
Nahla,Wielonsky,1954-09-14
Genki,Maccarone,1953-06-23
Leaf,Gien,1952-11-06
Yuriy,Birge,1954-11-14
Taizo,Schurmann,1955-05-07
Takanari,Aamodt,1953-03-06
Gilbert,Moffat,1955-01-15
Youssef,Basagni,1954-03-11
Jaewoo,Kushner,1954-05-27
Xinan,Erman,1955-12-01
Sachem,Claffy,1954-06-21
Moto,Thibadeau,1955-06-29
Masasuke,Caine,1953-04-29
Masaru,Selvestrel,1955-04-09
Poornachandra,Kopetz,1954-07-12
Uriel,Hutton,1954-07-13
Marke,Krohn,1954-05-11
Tokuyasu,Vuskovic,1952-02-07
Olivera,Blokdijk,1955-12-14
Cristinel,Potthoff,1955-08-10
Hitomi,Decaestecker,1953-04-25
Idoia,Roisin,1954-12-15
Shuho,Christ,1955-01-16
Kotesh,Navazio,1954-06-07
Prodip,Kusalik,1955-12-08
Vidar,Prochazka,1954-09-16
Sibyl,Uhrig,1955-11-13
Zita,Woycyznski,1952-04-14
Guenter,Riexinger,1953-02-23
Lech,Verspoor,1954-10-16
Margo,Schusler,1954-07-25
Jaihie,Servi,1953-09-06
Shahaf,Laventhal,1952-08-05
Arnd,Akaboshi,1953-03-29
Rosine,Gajiwala,1955-07-05
Tayeb,Alblas,1953-02-21
Djenana,Scharstein,1952-03-25
Eran,Copas,1955-01-15
Murthy,Prenel,1954-02-19
Feipei,Duclos,1955-07-10
Percy,Picco,1954-09-09
Irene,Petersohn,1953-06-04
Tsvetan,Hebert,1953-10-05
Arlette,Fordan,1953-01-14
Maris,Calkin,1954-12-02
Vitali,Azevdeo,1953-11-16
Christfried,Oberman,1953-11-22
Xiaoheng,Rodham,1953-04-14
Rajmohan,Slobodova,1952-07-15
Holgard,Schmittgen,1953-05-15
Khoa,Kropp,1955-10-01
Jayson,Rubsam,1955-02-10
Kamran,Flowers,1955-05-02
Baruch,Paludetto,1954-07-31
Breannda,Stasinski,1953-04-06
Etsuo,Taneja,1955-03-26
Moti,Maccarone,1952-03-05
Beshir,Babu,1954-10-16
Manu,Farris,1953-06-10
Danny,Berstel,1952-12-01
Elvis,Borovoy,1955-08-02
Tsuneo,Leppanen,1955-09-25
Henk,Tramer,1953-06-29
Barna,Yavatkar,1953-05-24
Christophe,Noriega,1955-06-02
Manton,Berstel,1954-11-11
Souichi,Bahr,1955-01-25
Luerbio,Casperson,1952-08-19
Sreekrishna,Ramamoorthy,1953-07-07
Dmitri,Porenta,1953-09-28
Adly,Wiegley,1952-04-28
Girolamo,Highland,1953-09-03
Van,Negoita,1952-07-09
Xinyu,Winter,1953-01-12
Gudjon,Lund,1953-01-22
Shigeaki,Denis,1953-01-29
Rasiah,Taubenfeld,1952-05-06
Randi,Sury,1953-06-16
Adly,Orsini,1954-10-03
Guadalupe,Lowrie,1953-04-13
Kensyu,Calkin,1952-02-26
Kristin,Garnick,1955-03-16
Franziska,Oberman,1953-12-26
Abdelghani,Benner,1952-11-17
Yoshinari,Chiodo,1952-05-18
Alagu,Tsukuda,1955-05-22
Dipayan,Anick,1954-02-07
Ebru,Matheson,1955-07-10
Gor,Morrey,1954-09-09
Mitchel,Homond,1954-06-19
Leif,Belinskaya,1954-01-30
Zhonghui,Angiulli,1952-03-23
Herbert,Conti,1955-07-31
Rafail,Falby,1952-05-27
Dulce,Linares,1954-11-18
Mohammad,Osgood,1953-02-17
Aemilian,Decleir,1955-02-05
Olivera,Feldmann,1954-09-02
Elgin,Perna,1954-01-04
Bernardo,Luck,1955-06-07
Eishiro,Terwilliger,1955-05-12
Yannik,Himler,1953-03-07
Masali,Ferretti,1955-10-05
Jaana,Schaaf,1953-09-30
Rimon,Grandbois,1954-08-18
Divine,Docker,1953-02-06
Otmar,Selvestrel,1953-05-14
Gunilla,Bernardinello,1955-10-09
Saeko,Radwan,1954-10-18
Iara,Lindenbaum,1955-03-03
Boutros,Emiris,1953-03-13
Godehard,Pelz,1952-05-17
Jaewoo,Papsdorf,1954-06-21
Raimond,Turnbull,1955-11-03
Jayson,Jumpertz,1952-11-13
Dannz,Motley,1955-12-09
Fan,Zeleznik,1954-12-04
Yechiam,Velardi,1952-09-24
Eckart,Cannane,1954-04-04
Shakhar,Egerstedt,1952-05-26
Kwangho,Underwood,1952-03-12
Akemi,Naumovich,1953-04-08
Siddarth,Servieres,1955-10-04
Fumitaka,Beerel,1953-10-25
Sajjad,Goldhammer,1955-02-02
Kristinn,Benveniste,1953-08-21
Seongbae,Bail,1952-09-18
Changho,Prenel,1954-05-13
Terresa,Isard,1954-10-11
Nalini,Woycyznski,1952-11-15
Ayakannu,Falby,1954-03-17
Sakthirel,Boudaillier,1953-12-11
Ingmar,Angot,1952-07-21
Selwyn,Kranzdorf,1953-09-28
Willard,Maginnis,1954-06-18
Ohad,Lichtner,1955-06-12
Lenore,Thebaut,1954-03-17
Nahid,Gustavson,1952-05-13
Arumugam,Wrigley,1952-09-12
Aamer,Ferretti,1955-02-06
Berna,Jording,1954-07-31
Amabile,Sullins,1955-02-28
Mahmut,Poulakidas,1953-11-14
Jiang,Laurillard,1954-03-11
Jaroslava,Hegner,1954-03-06
Fei,Miyakawa,1953-05-13
Ravishankar,Baby,1955-08-08
Mingdong,Gustavson,1952-02-11
Takanari,Zambonelli,1952-03-30
Huican,Schmiedel,1954-07-22
Paraskevi,Lieblein,1953-06-09
Huei,Pargaonkar,1952-11-21
Christfried,Heyers,1952-10-24
Xiaopeng,Lorys,1954-01-15
Frazer,Billingsley,1952-05-23
Janalee,Bahr,1955-08-29
Leon,Tiemann,1953-01-10
Tooru,Schonegge,1954-03-28
Kyoichi,Radivojevic,1954-04-16
Aiman,Reeker,1955-09-22
Otmar,Gajiwala,1954-01-18
Gianluca,Jarecki,1954-12-20
Moss,Poupard,1953-12-28
Lucian,Falby,1952-07-17
Vishwani,Speer,1955-05-10
Douadi,Luit,1954-12-22
Mariangiola,Wynblatt,1955-05-06
Richara,Yurek,1955-09-22
Lubomir,Dulay,1952-05-21
Sadun,Kavraki,1954-03-29
Chikara,Stavenow,1953-11-13
Yoshinari,Coors,1954-07-28
Mara,Schurmann,1955-11-09
Chinya,Neimat,1953-06-05
Jaana,Leivant,1955-05-05
Fayez,Einsfeld,1953-09-05
Jayesh,Brender,1952-05-24
Subhankar,Gini,1952-08-21
Arno,Itzigehl,1955-09-01
Guther,Lowrie,1955-10-17
Takahira,Potthoff,1952-12-14
Valery,Sichman,1955-09-18
Aron,Piazza,1954-06-01
Radhakrishnan,Maksimenko,1953-07-08
Vincent,Tibblin,1953-07-02
Tze,Fortenbacher,1955-06-20
Tetsurou,Sichman,1954-03-17
Kenroku,Walston,1954-08-17
Seongbae,Staudhammer,1954-05-20
Irene,Kushnir,1955-04-17
Toshiko,Kranzdorf,1955-02-10
Aamer,Luga,1955-04-15
Lucien,Gecsel,1953-08-25
Sachem,Kaiserswerth,1952-05-20
Aral,Huhdanpaa,1952-12-19
Sreekrishna,Anandan,1955-10-24
Lucien,Bennet,1955-07-18
Xiaopeng,Gluchowski,1955-07-15
Goetz,Schnelling,1953-10-26
Sasan,Sethi,1953-11-16
Shigeichiro,Oskamp,1954-02-02
Irene,Yetto,1953-11-04
Gina,Lakshmanan,1955-02-10
Olivera,Joslin,1953-08-13
Halsur,Yurek,1954-12-09
Georgi,Maraist,1955-10-30
Persi,Teitelbaum,1955-11-23
Giri,Jiang,1952-02-28
Mariangiola,Lovengreen,1954-08-11
Premal,Terkki,1954-09-05
Xiping,Duclos,1955-04-13
Ingemar,Pepe,1953-07-30
True,Beausoleil,1954-02-23
Gino,Atrawala,1953-09-21
Radhika,McFarlan,1952-02-09
Yaghout,Pauthner,1952-09-09
Poornachandra,Bade,1955-09-11
Zvonko,Maliniak,1953-08-03
Heather,Rehfuss,1953-08-07
Uriel,Marakhovsky,1955-11-21
Zsolt,Baca,1955-06-25
Willard,Clemencon,1955-11-08
Ewing,Sury,1952-11-25
Kristin,Serre,1954-03-16
Dante,Brobst,1955-01-19
Bezalel,Angelov,1954-06-08
Mark,Kalloufi,1955-08-30
Aris,Coombs,1953-03-24
Serge,Kaiserswerth,1954-11-18
Shridhar,Koblick,1955-02-28
Chikara,Thibadeau,1955-12-11
Adamantios,Rousseau,1954-06-15
Mariusz,Spelt,1953-12-30
Oksana,Clemencon,1952-06-02
Saniya,Vandervoorde,1952-07-11
Erzsebet,Shackell,1954-11-26
Henk,Byoun,1954-09-17
Moni,Sewelson,1953-07-08
Troy,Lovengreen,1954-11-14
Uli,Taneja,1955-08-30
Goncalo,Czaja,1955-06-01
Saniya,Candan,1952-06-07
Arra,Mamelak,1953-08-12
Lucian,Bultermann,1955-01-25
Falguni,Eugenio,1954-10-31
Adas,Ebeling,1953-02-17
Breannda,Portugali,1952-06-10
Vishv,Marrevee,1955-03-24
Fei,Billawala,1954-06-07
Pranas,Kusakabe,1953-05-01
Niranjan,Erni,1953-05-11
Spyrose,Rahier,1955-01-06
Shigeu,Serra,1955-01-20
Zhiwei,Clemencon,1955-11-08
Elgin,Tyugu,1955-05-09
Kerhong,Schmittgen,1955-12-07
Perla,Leivant,1954-11-03
Yongdong,Iwayama,1954-12-24
Fusako,Zedlitz,1955-08-01
Fumino,Breugel,1953-02-05
Make,Zaccaria,1955-06-28
Maya,Norsworthy,1954-11-11
Oldrich,Narahari,1953-06-21
Mahmut,Strooper,1952-11-25
Visit,Kriebel,1953-05-03
Nahla,Swick,1954-03-02
Henk,Wossner,1953-12-17
Val,Heuter,1953-09-16
Adas,Ligten,1955-10-08
Sedat,Gini,1953-11-27
Manohar,Gill,1952-10-05
Nevio,Schoegge,1952-06-24
Subhada,Przulj,1952-08-28
Shugo,Poujol,1954-02-23
Fen,Rabejac,1955-04-12
Nikolaus,Schmiedel,1952-08-15
Nishit,Vitiello,1953-11-29
Xiaoheng,Backhouse,1952-09-13
Hidde,Takanami,1953-03-08
Basil,Huhdanpaa,1953-06-21
Phule,Saoudi,1954-07-09
Toshimori,Khalil,1953-08-31
Oldrich,Perin,1954-04-13
Saddek,Sommer,1954-10-25
Dinkar,Krider,1955-06-15
Constantino,Speer,1954-11-18
Franziska,Reinhard,1953-04-22
Patricia,Lortz,1954-02-06
Emran,Pluym,1953-09-24
Tsutomu,Nitto,1955-12-22
Shirish,Leonhardt,1954-11-09
Gila,Bernardinello,1953-02-15
Bader,Chorvat,1952-07-07
Kellie,Mapelli,1954-12-28
Sakthirel,Speel,1955-05-21
Kamakshi,Auria,1953-01-23
Arvind,Beetstra,1954-01-19
Tsz,Hagimont,1954-08-03
Nobuyoshi,Legleitner,1954-03-22
Dinkar,Perfilyeva,1952-12-22
Baocai,Clemencon,1954-08-14
Turgut,Poehlman,1954-05-18
Jacqueline,Decaestecker,1953-10-09
Reinhold,Monkewich,1952-05-09
Ult,Lienhardt,1952-04-06
Cullen,Ghazalie,1954-07-27
Maia,Vickson,1955-09-26
Guther,Pellegrinelli,1953-01-20
Takahito,Fasbender,1952-02-24
Toong,Melton,1954-08-01
Nathan,Baaleh,1955-03-16
Xiaoheng,DasSarma,1953-03-26
Lalit,Speel,1953-05-23
Tiina,Muhling,1953-08-10
Aimee,McAffer,1953-11-12
Remzi,Dehkordi,1953-04-13
Satosi,Bednarek,1954-12-11
Toshiki,Champarnaud,1952-12-12
Kenroku,Piazza,1953-05-08
Hatsukazu,Halloran,1953-08-24
Lein,Morrin,1954-08-26
Rosalie,Vecchi,1955-10-16
Dietrich,Gornas,1953-01-06
Goncalo,Kilgore,1955-06-10
Nahid,Magalhaes,1954-11-14
Marek,Macedo,1952-02-02
Debatosh,Soloway,1953-09-20
Vishv,Quadeer,1954-03-05
Abdulah,Iisaku,1954-02-28
Sushant,Debuse,1952-12-09
Luigi,Cyre,1955-08-16
Wojceich,Tischendorf,1955-03-26
Rasiah,Kisuki,1952-08-28
Gay,Liedekerke,1955-09-14
Lein,Bernardinello,1954-07-13
Hironobu,Puppo,1954-12-14
Manu,Weedon,1954-04-08
Girolamo,Mundy,1955-10-14
Olivera,Poulakidas,1953-03-29
Serge,Maquelin,1954-11-23
Moheb,Vrecion,1953-10-08
Sudharsan,Bardell,1953-12-10
Subir,Azuma,1955-04-06
Gaurav,Conta,1955-06-25
Trygve,Templeman,1952-03-11
Yaghout,Kornyak,1954-08-18
Krisda,Herath,1955-01-05
Sashi,Debuse,1953-03-22
Goh,Fasbender,1954-07-27
Bilhanan,Worfolk,1952-10-05
Dante,Lally,1952-04-25
Zine,Leslie,1953-03-22
Weiye,Erev,1954-05-24
Arie,Yetim,1952-07-09
Nadjib,Wolniewicz,1955-10-10
Hidefumi,Cooke,1952-10-07
Tetsushi,Sessa,1952-10-12
Heekeun,Baba,1952-03-16
Tuval,Liedekerke,1952-11-27
Aamer,Peha,1954-01-02
Noritoshi,Katalagarianos,1954-12-09
Shunichi,Muhling,1955-03-21
Arlette,Iwayama,1954-08-11
Atreye,Hedayat,1954-08-08
Shai,Turnbull,1952-05-27
Hongzhu,Claffy,1952-09-19
Cordelia,Couchot,1953-03-03
Giordano,Pouyioutas,1955-11-20
Jouko,Kolinko,1955-03-08
Domenico,Moehrke,1954-07-11
Sven,Majewski,1953-12-30
Katsuyuki,Nourani,1952-04-24
Honesty,Perng,1953-08-26
Zhanqiu,Siprelle,1955-04-27
Tetsushi,Stroustrup,1955-07-06
Zhonghua,McAlpine,1955-02-16
Eran,Ritcey,1952-10-04
Mang,Schwartzbauer,1954-12-05
Jianhao,England,1953-12-05
Mostafa,Underwood,1954-11-02
Mayuri,Chenoweth,1953-07-14
Mantis,Schahn,1953-08-18
Avishai,Baezner,1953-08-29
Christophe,Hashii,1954-09-06
Roselyn,Rosin,1954-10-24
Foong,Pettis,1955-09-04
Yucel,Kilgore,1952-12-03
JiYoung,Plavsic,1953-06-09
Manohar,Perez,1952-10-24
Kersti,Gladwell,1954-11-01
Genevieve,Lund,1952-12-29
Mohammad,Ullian,1952-07-02
Gladys,Isaak,1954-03-07
Yunming,Thiran,1955-04-22
Yongqiao,Borovoy,1955-08-11
Chandrasekaran,Berstel,1953-04-19
Shaunak,Krychniak,1953-01-13
Niclas,Nittel,1954-11-28
Shigehiro,Lanteri,1952-02-23
Zhilian,Bergere,1952-11-04
Gay,Thiria,1952-08-14
Gina,Bridgland,1952-10-04
Shaleah,Zizka,1954-04-15
Hironobu,Schwartzbauer,1952-12-25
Mang,Christ,1952-06-14
Keiichiro,Kobara,1955-02-21
Gill,Aseltine,1952-02-14
Bernice,Karlin,1954-03-09
Kristen,Miyakawa,1953-12-13
Pantung,Ozery,1952-06-14
Danel,Lukaszewicz,1954-07-02
Nevin,Fujisaki,1952-08-27
Demos,Waschkowski,1953-01-18
Fumiya,Eickenmeyer,1954-05-01
Nikolaos,Menyhert,1953-09-06
Christ,Luks,1953-12-08
Deborah,Poehlman,1952-03-09
Manibrata,Orlowska,1952-10-05
Stella,Peral,1953-10-19
Udaiprakash,Nannarelli,1952-04-22
Roded,Kaiser,1953-04-29
Jaroslava,Seuren,1953-03-06
Shmuel,Rodite,1952-06-24
Stella,Tsukune,1955-06-18
Mohan,Undy,1952-10-12
Cedric,Chachaty,1955-10-01
Fumiyo,Peltason,1955-05-09
Tianruo,Selenyi,1955-01-15
Anneli,Maliniak,1953-06-18
Bangqing,Sichman,1952-03-21
Kendra,Stamatiou,1952-04-30
Frazer,Schlenzig,1955-08-11
Elrique,Veccia,1953-12-18
Chenxi,Chenoweth,1952-11-25
Maik,Jahnichen,1955-10-02
Mountaz,Sidou,1952-11-11
Takanari,Ponthieu,1953-11-29
Kitty,Massonet,1954-05-31
Tua,Heystek,1952-12-01
Kagan,Danlos,1954-02-06
Boalin,Alpay,1954-09-04
Kazuhiko,Sridhar,1953-11-17
Idoia,Rindone,1954-11-16
Mamdouh,Openshaw,1954-11-05
Arch,Peek,1952-09-02
Yucai,Farrow,1953-10-19
Elgin,Krupka,1953-06-28
Vugranam,Harbusch,1952-11-01
Leni,Kaminger,1954-10-22
IEEE,Chiola,1953-05-17
Serap,Facello,1952-07-07
Qingxiang,Boissier,1952-09-03
Arnd,Lortz,1955-05-29
Ayonca,Hiraishi,1953-12-18
Arne,Huttel,1954-08-03
Elvis,Quaggetto,1954-05-05
Tetsurou,Remmers,1953-07-10
Tokuyasu,Kragelund,1953-08-22
Magy,Stassinopoulos,1952-10-10
Danai,Delgrande,1955-06-10
Waiman,Vidal,1955-09-24
Chinhyun,Basart,1955-10-31
Chaoyi,Felder,1952-06-21
Bedrich,Businaro,1955-02-21
Caolyn,Radwan,1954-02-15
Gregory,Makinen,1954-08-08
Stamatina,Vigier,1952-09-13
Huei,Karcich,1953-11-27
Oscar,Reutenauer,1953-02-14
Karlis,Merkl,1955-11-10
Saniya,Lindenbaum,1953-06-26
Juichirou,Hedayat,1954-06-06
Slavian,Andreotta,1954-05-21
Xinglin,Marletta,1952-09-25
Divier,Szmurlo,1954-03-08
Pohua,Ventosa,1952-07-14
Make,Jiang,1953-08-31
Marie,Angiulli,1954-05-11
Fabrizio,Mitina,1955-04-16
Ramya,Tchuente,1955-08-24
Guenter,Gide,1953-08-31
Palash,Naumovich,1952-09-18
Raimond,Kruskal,1953-03-28
Mohua,Huhdanpaa,1952-07-28
Arno,Pardalos,1953-10-16
Josyula,Setlzner,1954-04-22
Arnould,Lipner,1953-01-29
Guiseppe,Dechter,1955-03-27
Fumiko,Stille,1952-03-23
Bernice,Mitchem,1952-02-05
Shigeu,Samarati,1954-10-23
Joydip,Benzaken,1952-03-02
Chanjung,Chachaty,1953-11-19
Giri,Servi,1953-04-28
Xiaoqiang,Kolvik,1953-05-07
Qingxiang,Eiter,1952-04-05
Jiafu,Birsak,1953-01-15
Shunichi,Scallan,1955-05-23
Guadalupe,Schusler,1953-05-29
Divine,Fadgyas,1953-08-25
Xudong,Bruckman,1952-02-24
Bogdan,Peron,1954-01-21
Marsal,Alpay,1952-04-30
Constantino,Huttel,1952-07-17
Teiji,Khalil,1955-09-18
Kasidit,Nitsche,1952-09-18
Luigi,Erni,1955-10-20
Gretta,Vilarrasa,1954-08-08
Woody,Terlouw,1952-09-16
Chirstian,Kobara,1954-02-27
Patricio,Riesenhuber,1954-05-19
Rafael,Keustermans,1952-07-03
Jungsoon,Wissmann,1952-08-06
Patricio,Jakobus,1955-01-29
Premsyl,Camarinopoulos,1955-08-03
Kamran,Lorie,1952-03-17
Berthier,Masand,1953-08-10
Idoia,Baik,1953-08-05
Yongqiao,Zumaque,1953-03-22
Hatem,Mondadori,1953-01-02
Karlis,Delaune,1952-02-18
Thodoros,Stiles,1953-08-27
Nitsan,Bresenham,1955-08-21
Mabry,Falby,1953-08-07
Bikash,Georgatos,1953-05-28
Alenka,Crabtree,1953-01-28
Jianhua,Munoz,1952-05-04
Kiyokazu,Sundgren,1955-05-21
Yahiko,Schiper,1953-08-03
Greger,Chandrasekhar,1952-09-25
Valeska,Chiola,1954-12-06
Khue,Pelc,1952-03-15
Tetsurou,Argence,1953-03-09
Yongdong,Garnham,1952-05-15
Alois,Yeung,1954-08-19
Guenter,Muchinsky,1955-02-15
Jongsuk,Papadias,1953-12-14
Zeljko,Seghrouchni,1955-07-09
Kazuhito,Acton,1955-09-07
Sajjad,Cusworth,1952-08-09
Domenick,Baca,1952-06-08
Felicidad,Chinal,1955-12-14
Nathan,Baaz,1954-03-19
Remzi,Brattka,1955-01-08
Moty,Openshaw,1953-12-23
Trygve,Bamford,1953-03-06
Takahito,Bernardinello,1954-07-26
Guiseppe,Hofting,1953-02-26
Basant,Lodder,1954-01-27
Remzi,Siochi,1954-12-04
Zhanqiu,Guerreiro,1952-03-24
Munir,Wilharm,1955-07-20
Sanjeeva,Whittlesey,1954-12-11
Chiranjit,Saoudi,1955-09-15
George,Kranzdorf,1954-08-07
Stein,Junot,1953-05-31
Takushi,Legleitner,1955-09-03
Alain,Suermann,1954-08-17
Supot,Isaac,1953-09-18
Khue,Fioravanti,1952-04-03
Nikolaos,Schreiter,1955-09-14
Heng,Cronin,1955-10-01
Marjo,Pettit,1955-12-24
Geoffrey,Knightly,1954-12-22
Shigeaki,Koshiba,1955-08-05
Licheng,Dalton,1954-09-07
Sverrir,Ghazalie,1953-12-01
Rajmohan,Duclos,1952-04-16
Kwangyoen,Glinert,1955-05-15
Christoper,Kalafatis,1954-08-15
Isaac,Eickenmeyer,1955-03-08
Niclas,Velardi,1952-06-12
Moheb,Conde,1953-06-30
Claudi,Kropatsch,1952-11-17
Marsal,Detkin,1953-09-23
Narain,Jenevein,1955-05-09
Visit,Servieres,1952-10-14
Duke,Uhrik,1954-11-19
Adit,Grospietsch,1952-05-26
Mountaz,Ushiama,1955-04-01
Heejo,Senzako,1955-01-20
Adel,Unni,1953-10-01
Fan,Msuda,1953-03-22
Fumino,Pouyioutas,1955-02-08
Eberhardt,Perl,1952-12-24
Peternela,Camarinopoulos,1955-05-20
Rayond,Rodier,1955-12-20
Mani,Erman,1955-08-28
Ugo,Verhaegen,1954-10-09
Suzette,Picci,1954-12-04
Arno,Gulla,1953-10-11
Juichirou,Dusink,1953-07-24
Kwee,Veevers,1955-12-20
Ipke,Fujisaki,1953-04-29
Moni,Vakili,1955-04-16
Zhensheng,Hutton,1955-12-11
Alagu,Fraisse,1953-08-31
Yannis,Roccetti,1954-12-06
Yuqun,Vidya,1954-05-30
Ottavia,Kambil,1954-05-20
Dayanand,Ebeling,1954-07-10
Valeska,Yetto,1955-05-09
Aamer,Loncour,1955-11-11
Harjit,Erdi,1952-03-04
Shridhar,Glowinski,1955-12-22
Remco,Feldmann,1952-08-06
Chinya,Rettelbach,1953-02-06
Bezalel,Edelhoff,1954-01-23
Tomoyuki,Monarch,1954-07-18
Remmert,Mitchem,1953-11-05
Bernice,Siepmann,1952-11-29
Toney,Rosiles,1955-08-20
Samphel,Shrader,1954-05-10
Hironoby,Anido,1952-02-06
Kwangjo,Zhang,1954-04-07
Noritoshi,Geffroy,1953-11-14
Quingbo,Roison,1955-04-03
Leandro,Cyre,1954-01-23
Paraskevi,Ravishankar,1954-05-10
Faiza,Fortenbacher,1955-08-02
Ebru,Nicolson,1954-08-15
Rance,Rajaraman,1954-11-05
Kiyomitsu,Schahn,1955-03-09
Ronghao,Monkewich,1953-06-01
Vidar,Pollacia,1955-11-01
Franziska,Ashish,1953-05-26
Sigeru,Baez,1952-12-08
Gift,Falco,1953-03-12
Masasuke,Cyre,1955-02-11
Stevo,Luef,1952-12-20
Luerbio,Bennet,1954-10-12
Christophe,Peres,1954-01-21
Augustine,Mundy,1953-11-23
Christophe,Koblitz,1952-02-28
Eishiro,Pews,1955-07-08
Shaunak,Pollock,1953-04-24
Mohammad,Suppi,1955-01-18
Uta,Brandsma,1954-08-11
Ohad,Bouloucos,1953-09-21
Vivian,Munos,1953-10-10
Saeed,Rosin,1952-08-01
Shahid,Yurov,1954-01-29
Seshu,Jenevein,1955-11-14
Jiafu,Camarinopoulos,1954-03-02
Chikako,Bolsens,1952-10-13
Toshimi,Frolund,1953-10-04
Ugo,Begiun,1952-05-12
Xinglin,Businaro,1955-08-10
Eben,Luders,1955-06-27
Fusako,Brobst,1953-07-27
Gurbir,Suermann,1952-04-26
Sverrir,Baba,1953-12-12
Gritta,Journel,1953-02-05
Claudi,Wolniewicz,1954-06-08
Aimee,Uhrik,1952-06-21
Mary,Griswold,1955-09-25
Ibibia,Molenkamp,1954-07-21
Masanao,Journel,1954-02-25
Honglan,Krohn,1954-05-07
Yonghoan,Mondadori,1955-08-13
Alper,Pagter,1955-07-09
Sivanarayana,Chandrasekhar,1953-07-02
Kwun,Fujisaki,1954-04-18
Girolamo,Zweizig,1954-10-22
Danny,Heijenga,1952-09-17
Uinam,Rothe,1954-10-31
Moriyoshi,Baca,1954-06-11
Vitali,Peral,1952-06-07
Shrikanth,Mawatari,1953-05-21
Abdelaziz,Vitiello,1955-10-19
Cristinel,Streng,1955-07-16
Manohar,Emiris,1954-08-25
Malu,Krohm,1954-03-19
Dzung,Bala,1952-05-17
Georg,Schreiter,1955-12-15
Kazuhira,Rodiger,1953-05-19
Yaghout,Servi,1953-03-30
